시설명,주소,전화번호,위도,경도,구
청청,서울 강남구 신사동 588-12,,37.5215078,127.0311082,강남구
동경전통육개장,서울 강남구 역삼1동 647-7,,37.50042612,127.0327224,강남구
대우식당,서울 강남구 역삼동 641-18,,37.50275593,127.0352543,강남구
통영집,서울 강남구 역삼동 696-31,,37.50647896,127.0473938,강남구
강남목장,서울 강남구 역삼동 725-25,,37.50036277,127.0403082,강남구
강남목장,서울 강남구 역삼동 725-25,,37.50036277,127.0403082,강남구
현대북어찜황태전골,서울 강남구 역삼동 738-11,,37.49887571,127.0371559,강남구
무등산,서울 강남구 청담동 1-15,,37.5219196,127.0399605,강남구
드럼통떡볶이,서울 강동구 길동 412-8,,37.53685778,127.1392951,강동구
까시,서울 강동구 길동 414-3,,37.53674523,127.1375419,강동구
버섯잔치집,서울 강동구 성내동 549-4,,37.52828742,127.1256773,강동구
땡초닭발,서울 강북구 수유동 178-28,,37.64202801,127.0243262,강북구
전주뜰콩나물국밥,서울 강서구 공항동 672-10,,37.55515721,126.816054,강서구
등촌최월선칼국수,서울 강서구 등촌동 654-95,,37.55604047,126.8567055,강서구
농실가,서울 강서구 등촌동 674-2,,37.55933596,126.8392778,강서구
광주똑손이아구찜,서울 강서구 마곡동 722-3,,37.55943719,126.837863,강서구
방화동쭈꾸미마을,서울 강서구 방화동 451-8,,37.57411248,126.8111239,강서구
유림,서울 강서구 염창동 5-17,,37.559421,126.8669324,강서구
사당삼겹살,서울 관악구 남현동 1061-13,,37.47500712,126.9811652,관악구
봉천동진순자김밥,서울 관악구 봉천동 894-2,,37.48126742,126.9474533,관악구
김영자나주곰탕,서울 관악구 서림동 110-6,,37.47239158,126.9352935,관악구
볏짚구이이야기,서울 관악구 행운동 1666-2,,37.48145962,126.9542037,관악구
안동참찜닭,서울 광진구 자양동 1-17,,37.53959817,127.0699389,광진구
개미집,서울 광진구 화양동 508-2,,37.54522307,127.0769518,광진구
황소곱창,서울 광진구 화양동 9-24,,37.54157965,127.0685476,광진구
소문난,서울 노원구 공릉동 571-16,,37.62190218,127.0723876,노원구
채선당,서울 노원구 상계동 1267,,37.68018621,127.0558302,노원구
나정순할매쭈꾸미,서울 동대문구 용신동 119-20,,37.57708815,127.0307822,동대문구
먹깨비해물아구찜,서울 동대문구 장안동 345-1,,37.57042994,127.0715965,동대문구
팔팔해물탕,서울 동작구 신대방동 375-21,,37.49742211,126.9203666,동작구
용마루굴다리껍데기,서울 마포구 공덕동 22-13,,37.54912941,126.9580739,마포구
웰빙김치찜,서울 마포구 공덕동 256-5,,37.5451972,126.9533138,마포구
군자네,서울 마포구 대흥동 337-62,,37.54551871,126.9395037,마포구
팔팔전복,서울 마포구 도화동 181-5,,37.54204786,126.9509192,마포구
한강껍데기,서울 마포구 망원동 416-33,,37.55666553,126.9022894,마포구
만복기사식당,서울 마포구 망원동 455-1,,37.55527734,126.8998974,마포구
청어람,서울 마포구 망원동 482-3,,37.55812728,126.9075121,마포구
오복가정식,서울 마포구 상암동 12-79,,37.57751507,126.8940993,마포구
강수돌곱창,서울 마포구 서교동 358-136,,37.55296465,126.9221168,마포구
훈남닭발,서울 마포구 서교동 363-24,,37.55113542,126.9226367,마포구
아소정,서울 마포구 염리동 149-9,,37.54657281,126.9464399,마포구
철길왕갈비살,서울 마포구 창전동 4-2,,37.55459117,126.9316435,마포구
한옥집,서울 서대문구 냉천동 178,,37.5666416,126.9648336,서대문구
대흥뚝배기,서울 서대문구 대현동 56-33,,37.55807649,126.9450862,서대문구
면면,서울 서대문구 북가좌동 343-1,,37.5836228,126.9111145,서대문구
청송함흥냉면,서울 서대문구 연희동 193-6,,37.56589473,126.9287709,서대문구
팔팔민물장어,서울 서초구 반포동 745,,37.50347403,127.0197986,서초구
백년옥,서울 서초구 서초3동 1450-6,,37.48117433,127.0137664,서초구
봉산옥,서울 서초구 서초3동 1451-9,,37.48334635,127.0124657,서초구
황금복국,서울 서초구 서초동 1327-1,,37.49582839,127.027353,서초구
담뿍화로된장찌개,서울 서초구 서초동 1330-7,,37.49296087,127.0283584,서초구
꼴더덕꼴더덕,서울 서초구 서초동 1459-6,,37.48399834,127.0122769,서초구
아따맵소,서울 서초구 서초동 1510-3,,37.4877209,127.0086897,서초구
영광굴비식당,서울 서초구 서초동 1572-14,,37.4924923,127.0115669,서초구
우작설렁탕,서울 서초구 서초동 1621-5,,37.48622706,127.0161207,서초구
강촌원조쭈꾸미,서울 서초구 양재동 13-9,,37.4833055,127.0362455,서초구
오대산산채식당,서울 서초구 양재동 2-13,,37.48473781,127.039962,서초구
소백산,서울 서초구 양재동 346,,37.46854453,127.0429508,서초구
양재동첫번째찜,서울 서초구 양재동 351-8,,37.46692338,127.0426109,서초구
목포산꽃게,서울 성동구 마장동 767-41,,37.56778764,127.0450387,성동구
호인족발,서울 송파구 가락동 175-7,,37.49603576,127.1358201,송파구
가나안,서울 송파구 송파동 195-1,,37.50048088,127.1123033,송파구
대갈곱창&막창,서울 송파구 송파동 39-9,,37.50994284,127.1089747,송파구
탕,서울 송파구 잠실동 207-19,,37.50965185,127.0847641,송파구
숲속도토리마을,서울 양천구 신정동 1157-21,,37.5154721,126.8493585,양천구
부여집,서울 영등포구 당산동2가 162-13,,37.52428988,126.8922135,영등포구
대림동삼거리 먼지막순대국,서울 영등포구 대림동 963-9,,37.49173897,126.9072278,영등포구
송원마포돼지갈비,서울 영등포구 문래동4가 8-18,,37.51659856,126.889387,영등포구
이필당,서울 영등포구 양평동4가 77-3,,37.535754,126.8956833,영등포구
부흥동태,서울 영등포구 여의도동 36-4,,37.52020503,126.9272641,영등포구
닭한마리,서울 영등포구 영등포동3가 12-18,,37.51779033,126.9096231,영등포구
전주전집,서울 영등포구 영등포동3가 4-7,,37.51898635,126.9076853,영등포구
땅끝마을매생이굴국밥,서울 용산구 원효로2가 80-18,,37.53604929,126.9622268,용산구
원대구탕,서울 용산구 한강로1가 142-4,,37.53469156,126.9742209,용산구
속초생선찜,서울 은평구 갈현동 431-1,,37.62025102,126.9176924,은평구
미소복원조양평해장국,서울 은평구 갈현동 460-18,,37.61691046,126.9187738,은평구
목포세발낙지,서울 은평구 불광1동 281-162,,37.60975126,126.9313556,은평구
항아리홍어,서울 은평구 불광동 281-159,,37.60997252,126.9311629,은평구
대관령황태마을,서울 은평구 역촌동 70-34,,37.60353868,126.9101748,은평구
만석쌈밥,서울 은평구 진관동 278-32,,37.65589504,126.9495108,은평구
전주식당,서울 종로구 관수동 43-2,,37.56989657,126.9911412,종로구
여자만,서울 종로구 관훈동 88,,37.57494682,126.9848309,종로구
장모님해장국,서울 종로구 구기동 253-1,,37.6088746,126.9556429,종로구
순라길,서울 종로구 권농동 148,,37.57651964,126.9915292,종로구
종로진낙지,서울 종로구 낙원동 139,,37.57210898,126.9890994,종로구
다락정,서울 종로구 삼청동 127-4,,37.58724383,126.981491,종로구
우정낙지,서울 종로구 서린동 127,,37.56940985,126.979507,종로구
경원집족발,서울 종로구 적선동 27,,37.57618675,126.9734991,종로구
미진,서울 종로구 종로1가 24,,37.57045894,126.9798502,종로구
억조,서울 종로구 효제동 226-1,,37.57207419,127.0036604,종로구
호남식당,서울 중구 남창동 34-53,,37.55982405,126.9769688,중구
용금옥,서울 중구 다동 165-1,,37.56765534,126.9805384,중구
오후청,서울 중구 북창동 104,,37.5620843,126.9780034,중구
마복림떡뽁이,서울 중구 신당동 292-112,,37.56320767,127.0150983,중구
황평집,서울 중구 인현동2가 135-13,,37.56406839,126.9961297,중구
두툼,서울 중구 중림동 200,,37.55811615,126.9653065,중구
전주중앙회관,서울 중구 충무로1가 24-11,,37.56117622,126.9837722,중구
목우촌부추삼겹살,서울 관악구 남현1길 68-10,588-7399        ,37.47533958,126.9810899,관악구
청진동해장국,서울 관악구 관악로 105,875-9882        ,37.47462961,126.9525993,관악구
오백냥분식,서울 송파구 가락로 112,414-2261,37.501272,127.1085095,송파구
토방 닭 한마리,서울 관악구 신림로22길 5,874-6895        ,37.47164663,126.9353063,관악구
왕세숫대야냉면(행복을파는집),서울 강서구 공항대로 423,02-2668-3608,37.55556748,126.8543717,강서구
돌마리유황오리,서울 송파구 가락로 66,423-6231,37.49976018,127.1036182,송파구
벧엘 칼국수,서울 송파구 마천로41길 22,408-5151,37.49689463,127.1499473,송파구
보라매25시해장국,서울 양천구 신월로17길 21,2604-6952       ,37.52069932,126.8417514,양천구
해피분식,서울 구로구 중앙로1길 18-19,02-2688-1242,37.49857739,126.8631491,구로구
금강숯불생고기,서울 광진구 용마산로7길 9,3437-9599       ,37.55898562,127.0870897,광진구
한우마당,서울 중구 남대문로5길 7,02-3789-7792,37.56167432,126.9788515,중구
흥부농장,서울 광진구 뚝섬로59길 81-2,3437-3611       ,37.53552255,127.0827993,광진구
자매식당,서울 광진구 구의로 16,3437-8760       ,37.53927248,127.0895182,광진구
다비다식당,서울 광진구 동일로 444,466-1074        ,37.56970056,127.0797764,광진구
김밥나라,서울 광진구 용마산로 52,446-2442        ,37.55833658,127.0880062,광진구
우돈골,서울 송파구 위례성대로20길 24,3401-4585,37.50926539,127.1272557,송파구
자매식당,서울 동대문구 이문로28길 16,967-9358        ,37.59549733,127.0605629,동대문구
김밥나라,서울 강서구 양천로59길 46,02-3664-8327,37.56104156,126.860025,강서구
백미식당,서울 강서구 공항대로59가길 25,02-3662-9288,37.55175699,126.8652265,강서구
남영해물탕,서울 용산구 한강대로80길 12,798-2545        ,37.54254316,126.973487,용산구
장수설렁탕,서울 송파구 백제고분로 148,415-1472        ,37.50548704,127.0831211,송파구
부부칼국수,서울 강서구 강서로56가길 47,02-3662-4594,37.56170219,126.8400994,강서구
별미 바지락칼국수,서울 강동구 풍성로 160,470-7393,37.53058027,127.1296127,강동구
투가리,서울 강동구 양재대로 1389,476-6005,37.53018558,127.1367675,강동구
박리김밥,서울 중랑구 공릉로2길 22,02-949-7101,37.61195597,127.0790364,중랑구
소소한날,서울 영등포구 도림로 462,02-2068-2220,37.51577851,126.8923582,영등포구
부남돌구이,서울 종로구 대학로2길 65-5,742-2451        ,37.57179175,127.0055853,종로구
투가리올림픽,서울 송파구 백제고분로 465,386-7004,37.51218629,127.1130539,송파구
봉주르,서울 마포구 와우산로 155-1,332-8373        ,37.55497892,126.9300363,마포구
산정,서울 중구 동호로 288,2277-0913       ,37.56021602,127.0031204,중구
깡통참숯돼지갈비,서울 성북구 보문로30라길 17,928-3343        ,37.58973215,127.0187619,성북구
김밥천국,서울 강서구 가로공원로76길 61,02-2692-5955,37.53442541,126.8382672,강서구
다사랑분식,서울 관악구 난우길 18,852-5010,37.4745872,126.9187257,관악구
원조막국수,서울 강북구 노해로33길 49,991-5215        ,37.64672082,127.0218646,강북구
다운이,서울 노원구 한글비석로 444,02-937-1160,37.66361305,127.0684926,노원구
제주똥돼지촌,서울 구로구 구로동로28길 98,02-837-3077,37.49172629,126.8892641,구로구
세림가든,서울 영등포구 경인로 874,02-2671-5678,37.51719978,126.9098191,영등포구
도봉산콩나물국밥,서울 도봉구 도봉로181길 53,02-955-9335,37.68461676,127.0429647,도봉구
길손한정식,서울 구로구 고척로40길 33-5,02-2625-0277,37.5016661,126.851131,구로구
제주흑돼지,서울 영등포구 영중로4길 5,02-2678-0610,37.51730064,126.9069661,영등포구
명가영양돌솥밥,서울 구로구 구로동로18길 12,02-858-5977,37.48809371,126.8852126,구로구
수제비손칼국수,서울 관악구 인헌4길 3,876-2517,37.4744541,126.9666007,관악구
대형갈비,서울 구로구 구로동로 100,02-864-0719,37.48759022,126.8851105,구로구
더구어,서울 서초구 효령로31길 58,3474-9293,37.48368318,126.9955076,서초구
태능숯불갈비,서울 동대문구 고산자로30길 17,966-5687,37.57601396,127.0393431,동대문구
신가네김밥타운,서울 서대문구 증가로25길 4,373-1187        ,37.58167048,126.9139717,서대문구
삼성회관,서울 중구 청구로3길 16,2231-8520,37.558876,127.0153513,중구
수원성갈비,서울 종로구 창신3길 9,745-3576,37.57322078,127.0112097,종로구
설가네부대찌개,서울 구로구 경인로 318-9,02-2613-2246,37.49673304,126.8557302,구로구
연희골굼터,서울 서대문구 홍제천로 156-6,3143-6883       ,37.57697449,126.930813,서대문구
보리밥 솥뚜껑 삼겹살,서울 구로구 개봉로15길 12,02-2682-4662,37.49002989,126.8552755,구로구
소백산영주한우,서울 은평구 은평로 187-3,02-358-1199,37.60197419,126.9286224,은평구
호남식당,서울 송파구 거마로22길 1,3402-0885,37.49932743,127.1476654,송파구
털보고된이,서울 은평구 통일로83길 9-1,02-383-9289,37.62083655,126.9186993,은평구
삼성돈구이,서울 강남구 봉은사로108길 3-6,02-508-6994,37.51439577,127.0641123,강남구
가마솥설렁탕,서울 구로구 고척로40길 33-4,02-2615-5292,37.50159831,126.8508925,구로구
연안식당,서울 서대문구 증가로 258,302-3773        ,37.58377618,126.9116437,서대문구
소문난맛함흥냉면,서울 성동구 무학봉18길 4-1,2299-5537       ,37.5612484,127.0317085,성동구
일심해장국,서울 송파구 양산로 12,407-6718,37.48991126,127.1435904,송파구
시골마당,서울 서초구 강남대로23길 30,577-9453,37.47640024,127.0371687,서초구
만나칼국수,서울 관악구 봉천로7길 23,888-8564,37.4905216,126.9263836,관악구
훼밀리김밥,서울 송파구 성내천로21길 12,406-5415,37.50043153,127.1447443,송파구
대풍손칼국수,서울 성북구 보문로 129,953-3060,37.58646205,127.018423,성북구
마들김밥,서울 노원구 한글비석로 474,02-933-9308,37.66482335,127.0654415,노원구
해주냉면,서울 서대문구 연세로12길 37-3,393-2990        ,37.55923855,126.9389414,서대문구
와우돈까스,서울 중랑구 공릉로12가길 6,02-2209-3607,37.61634248,127.0801655,중랑구
시골짚,서울 도봉구 도봉로152길 35,02-954-5243,37.66947801,127.0457387,도봉구
중앙한분식,서울 구로구 구로동로 126-20,02-851-1064,37.49002321,126.8853862,구로구
왕세숫대야냉면,서울 서대문구 수색로2길 7,376-0877        ,37.56918523,126.915982,서대문구
콩아리(전주콩나물국밥),서울 강북구 월계로 43-1,985-5588,37.61154637,127.0344652,강북구
밥도둑구이전문,서울 양천구 목동중앙북로7가길 53,2646-2131,37.54966854,126.8648147,양천구
강원도청국장,서울 송파구 오금로19길 14,423-1714,37.51087848,127.113994,송파구
금천골 오리명가,서울 금천구 시흥대로78길 59,808-1246,37.46071404,126.8991736,금천구
조은식당,서울 양천구 목동동로 339,2655-2527,37.53217536,126.8767439,양천구
시골칼국수,서울 강서구 방화대로7나길 45,02-2666-5477,37.55624077,126.8132605,강서구
함흥냉면(연백냉면),서울 송파구 새말로12길 7,409-5054,37.48267509,127.1293115,송파구
대박집,서울 양천구 등촌로 46,2653-9285,37.53384214,126.8640329,양천구
메밀이랑 면이랑,서울 강서구 강서로 263-17,02-2691-8585,37.54925761,126.8352441,강서구
진식당,서울 노원구 노원로 564,02-952-1026,37.66165211,127.0561247,노원구
해피타임,서울 강남구 삼성로71길 34,02-567-5714,37.50163638,127.0561198,강남구
옛고향,서울 서대문구 모래내로 350,02-394-7681,37.58099575,126.9353259,서대문구
소백산,서울 송파구 백제고분로39길 28,422-9929,37.50670258,127.1039507,송파구
털보식당,서울 도봉구 도당로 148,3492-7926,37.66695396,127.0424582,도봉구
송림정,서울 관악구 은천로 36,878-7777,37.48602819,126.9392268,관악구
포도나무,서울 중랑구 용마산로 338,493-3336,37.58195994,127.0936391,중랑구
예가원,서울 영등포구 영신로32길 32,02-2675-6963,37.51884951,126.9045378,영등포구
만미정 식당,서울 강북구 솔매로43길 96,983-8884,37.62993042,127.0228407,강북구
완산정,서울 구로구 개봉로23가길 37,02-2688-4655,37.49525476,126.858341,구로구
국일관,서울 송파구 마천로 345-1,406-0451,37.49292189,127.1528549,송파구
중앙삼겹시대,서울 관악구 중앙길 12,875-9998,37.48402414,126.9539051,관악구
정릉갈비,서울 성북구 정릉로38길 8,916-9466,37.60188312,127.0186528,성북구
명가분식,서울 구로구 오류로8길 85,02-2682-0384,37.49313252,126.8447073,구로구
은혜김밥,서울 은평구 역말로9길 41,02-359-0262,37.61470707,126.9222223,은평구
분식나라,서울 중랑구 동일로140길 25,02-2209-2833,37.60443355,127.0805827,중랑구
돈애우,서울 도봉구 도당로 81,02-3491-9279,37.66514108,127.0360209,도봉구
돈스우스,서울 양천구 월정로 157,2608-5015,37.53276617,126.8364683,양천구
영화속의 김밥이야기,서울 광진구 자양로 173,444-5005,37.54327179,127.0841916,광진구
김밥타운,서울 도봉구 도당로15길 3,02-956-2001,37.66576223,127.0368592,도봉구
유창숯불갈비,서울 관악구 은천로23길 14,883-5759,37.48726,126.948211,관악구
서울숯불갈비,서울 성북구 정릉로29길 8,912-1902,37.60381977,127.0157594,성북구
미락,서울 성북구 화랑로25길 13,915-3334,37.60916197,127.0521779,성북구
횡성한우목장,서울 용산구 효창원로48길 6,716-8592,37.53757588,126.9609065,용산구
자매분식,서울 구로구 구로중앙로8길 41,02-851-5293,37.49289538,126.8938133,구로구
항아리 숯불갈비,서울 강남구 언주로134길 11-1,02-517-2260,37.51687852,127.0365154,강남구
제주토종흑돼지,서울 관악구 남현1길 68-14,583-9250,37.47516875,126.9811246,관악구
한우식당,서울 구로구 경인로33길 61-3,02-2612-5157,37.50055977,126.851002,구로구
고등어식당,서울 강남구 강남대로84길 33,02-2050-0095,37.49754613,127.0310934,강남구
할매김밥,서울 중랑구 동일로163길 17,02-979-6227,37.61180773,127.0763273,중랑구
영자씨우동김밥,서울 중구 마른내로 15-1,2272-9791,37.56495413,126.9896068,중구
광나루찌개,서울 종로구 대학로5가길 1,744-9260,37.57835417,127.001738,종로구
김밥만두집,서울 구로구 오류로8나길 8,02-2617-8550,37.49074036,126.8413258,구로구
우성숯불갈비,서울 송파구 백제고분로17길 56,416-9600,37.51045418,127.0852781,송파구
공새미김밥,서울 광진구 뚝섬로58길 19,455-8178,37.53114307,127.0846902,광진구
또순이네,서울 종로구 사직로 130,730-6980,37.57536753,126.9733218,종로구
산고을,서울 영등포구 선유서로25길 5-1,02-2632-0677,37.52435552,126.8851816,영등포구
남영골,서울 용산구 한강대로77길 8,704-4745,37.54219831,126.9721418,용산구
우리생고기,서울 강남구 개포로82길 13-17,02-577-7740,37.48889849,127.0685805,강남구
흑돈연가,서울 용산구 한강대로76길 11-2,797-8060,37.54170938,126.9739424,용산구
송주불냉면,서울 강서구 방화동로 49,02-2662-5509,37.56507473,126.8114806,강서구
다리목,서울 관악구 신림로58가길 7,877-4369,37.48214701,126.9310355,관악구
미진분식,서울 구로구 구로중앙로8길 27,02-3281-9409,37.49245047,126.893119,구로구
황소마을,서울 용산구 이태원로26길 8,794-6373,37.53400336,126.9930088,용산구
다동분식,서울 중구 남대문로9길 16,02-755-7414,37.56683604,126.9815496,중구
일심해장국,서울 도봉구 방학로 204,02-956-7027,37.66220886,127.0294607,도봉구
진사골왕갈비,서울 서대문구 신촌역로 14,02-363-3959,37.55784316,126.943056,서대문구
사천옥,서울 강남구 선릉로86길 16,02-539-1075,37.50326221,127.0510214,강남구
장독묵은지,서울 강남구 삼성로 38,02-445-1444,37.48868793,127.0668453,강남구
지리산,서울 영등포구 여의나루로 67,02-761-1493,37.52355864,126.9265108,영등포구
수미정,서울 강남구 강남대로84길 33,02-2050-0099,37.49754613,127.0310934,강남구
마포숯불갈비,서울 송파구 성내천로 223,430-9757,37.49976235,127.1525585,송파구
정원고기마을,서울 영등포구 가마산로 455,02-836-8878,37.50600708,126.9069374,영등포구
해남식당,서울 강남구 학동로101길 26,02-543-9660,37.5224448,127.0576204,강남구
다정이모네,서울 관악구 신원로 3,865-0218,37.47965092,126.9278179,관악구
미락칼국수,서울 도봉구 도봉로110아길 6,02-908-7017,37.64595379,127.0373851,도봉구
청송숯불화로구이,서울 강남구 언주로114길 17,02-549-3739,37.51024939,127.0390466,강남구
닷컴분식,서울 구로구 남부순환로97길 20-6,02-2616-4048,37.4940385,126.8586456,구로구
보리수,서울 강남구 삼성로82길 25,02-564-7419,37.50557677,127.0597434,강남구
우리식당,서울 구로구 중앙로3길 50,02-2612-5559,37.49983111,126.8606584,구로구
순미식당,서울 영등포구 대방천로 188,02-832-7436,37.49893903,126.911852,영등포구
바우골화로구이,서울 강남구 강남대로92길 29,20-568-6721,37.4994031,127.0297084,강남구
미성식당,서울 서대문구 통일로40안길 13-5,02-379-8562,37.59085131,126.9436836,서대문구
한성축산식당,서울 마포구 연남로 33,375-8447,37.56254921,126.9214742,마포구
바보네집,서울 강남구 논현로120길 14,02-544-8870,37.51083869,127.0333165,강남구
서울분식,서울 송파구 가락로42길 13,415-1576,37.51220786,127.1212013,송파구
김밥짱,서울 구로구 구로동로 125-1,02-861-2644,37.48982287,126.8840474,구로구
한분식,서울 서대문구 홍연2길 2,335-6712,37.57481109,126.9277682,서대문구
신성김밥,서울 송파구 백제고분로22길 28,420-9563,37.50148797,127.0882814,송파구
콩나물국밥,서울 종로구 자하문로 3,738-8223,37.57648307,126.9722648,종로구
코너집,서울 중구 장충단로 229,02-2279-6266,37.56521682,127.0072136,중구
찌개와,서울 강남구 광평로 280,02-3413-0709,37.48731916,127.1031081,강남구
다복콩비지,서울 강남구 개포로22길 31,02-573-2057,37.47709916,127.0492122,강남구
시골청국장,서울 강남구 학동로 504,02-548-0171,37.51871507,127.0510181,강남구
송백식당,서울 영등포구 당산로38길 15,02-2632-5080,37.52870047,126.9000029,영등포구
청계산갈비살,서울 강남구 학동로45길 7,02-543-2198,37.51676351,127.0378128,강남구
청실식당,서울 강남구 남부순환로 2917,02-568-3692,37.4931667,127.0591649,강남구
명품삼겹살점문점,서울 송파구 백제고분로32길 3,419-2550,37.50202952,127.0952918,송파구
미각,서울 영등포구 가마산로90길 4,02-822-5822,37.50381569,126.9209631,영등포구
한보식당,서울 강남구 남부순환로 2921,02-562-0276,37.49349436,127.059773,강남구
대치동영지,서울 강남구 삼성로 212,02-565-1114,37.49961577,127.0659154,강남구
지우정,서울 강북구 삼각산로 130,900-9333,37.64082731,127.0186592,강북구
오복냉면,서울 강남구 선릉로76길 21,02-501-6288,37.50185209,127.0521767,강남구
미러칼국수,서울 강남구 삼성로 212,02-501-8748,37.49961577,127.0659154,강남구
방이맛집,서울 송파구 오금로11길 63-9,416-5567,37.51522785,127.114319,송파구
모아분식,서울 강동구 천호대로191길 6,02-484-7785,37.5353921,127.1444867,강동구
정하람남도팥칼국수,서울 송파구 삼전로 90,415-2334,37.50631653,127.0900953,송파구
풍년숯불갈비,서울 용산구 새창로 130,719-6530,37.53594341,126.9610888,용산구
삼삼뚝배기,서울 종로구 동숭길 51,765-4683,37.58055641,127.0041907,종로구
국수회관,서울 관악구 신림로 277,없음,37.4792616,126.9310023,관악구
알뜰정육식당,서울 도봉구 도봉로169나길 71,954-1191,37.67642559,127.0437226,도봉구
맛고을갈비찜,서울 동대문구 경동시장로10길 57,960-1717,37.58142822,127.043916,동대문구
청운숯불갈비,서울 용산구 청파로 383-8,711-2625,37.55415625,126.9684844,용산구
솔잎식당,서울 마포구 마포대로4길 46,717-2044,37.53768227,126.9466032,마포구
금복식당,서울 동대문구 안암로20길 16,923-7844,37.58736703,127.0350148,동대문구
먹고갈래지고갈래,서울 종로구 수표로 117,3673-1239,37.5717755,126.988906,종로구
소달구지,서울 중구 퇴계로4길 28,02-755-1585,37.55746243,126.9788585,중구
오케이식당,서울 동대문구 장한로18길 36,2213-3671,37.56752647,127.0710217,동대문구
일억조분식,서울 구로구 가마산로26길 11,02-869-8454,37.49568725,126.891249,구로구
산골녹차냉면,서울 용산구 효창원로 147,716-1988,37.54128506,126.9618529,용산구
홍두깨손칼국수,서울 성북구 보문로40길 5,953-5595,37.59173817,127.0138025,성북구
영동원삼겹살,서울 강남구 강남대로 520,02-541-5090,37.50867738,127.023051,강남구
다솜한식전문,서울 영등포구 가마산로 338,02-845-3212,37.49923507,126.8970027,영등포구
육판장,서울 강남구 삼성로 155,02-564-6254,37.4938814,127.0629519,강남구
양철집,서울 강남구 언주로153길 16,02-542-6689,37.52275026,127.0318786,강남구
김밥천국,서울 구로구 구로동로 119-2,02-862-6625,37.48929795,126.8841435,구로구
돈구워돈,서울 송파구 오금로 532,401-6363,37.49275511,127.1479001,송파구
향나무집,서울 강남구 봉은사로111길 7,02-511-3061,37.51576074,127.0651908,강남구
지리산,서울 강남구 학동로43길 7,02-546-3127,37.51658323,127.0372078,강남구
함흥식당,서울 서초구 마방로10길 54-2,02-577-7900,37.47536582,127.0448619,서초구
청숫골보리밥쌈밥,서울 강남구 삼성로 706,02-3443-4402,37.51934248,127.050302,강남구
두꺼비,서울 강남구 역삼로 421,02-445-8742,37.5014665,127.0530851,강남구
왕가네왕만두,서울 강남구 역삼로 420,02-555-0208,37.50099428,127.0528847,강남구
대승식당,서울 강서구 강서로74길 40,02-2658-5646,37.56683583,126.8430863,강서구
화로가,서울 용산구 한강대로39길 5,798-8480,37.53053018,126.9685964,용산구
한아름분식,서울 광진구 군자로 159,469-2535,37.55528157,127.0766351,광진구
제일식당,서울 강남구 남부순환로 2921,02-568-9367,37.49349436,127.059773,강남구
토종집,서울 강북구 인수봉로19나길 32,981-3104,37.6271489,127.0107277,강북구
진국설렁탕,서울 영등포구 당산로46길 1,02-2672-1666,37.53406501,126.9026765,영등포구
할범탕수육,서울 양천구 목동중앙북로 15,2652-0883,37.54853228,126.8653563,양천구
놀부만두,서울 동대문구 망우로16길 15,2241-7550,37.58935254,127.0614879,동대문구
명동분식,서울 중랑구 면목로37길 13,02-437-0845,37.57897098,127.0855798,중랑구
새마을,서울 마포구 동교로9길 51,0,37.55590302,126.909176,마포구
전주비빔밥,서울 강남구 봉은사로 524,02-2016-5280,37.5129437,127.0571142,강남구
처갓집,서울 강남구 양재대로 339,02-573-6317,37.4723696,127.0517062,강남구
트윈쿡,서울 강남구 영동대로 513,02-6002-3225,37.51182391,127.059159,강남구
유미식당,서울 영등포구 시흥대로 611,02-844-7953,37.48717922,126.9044822,영등포구
원조정가네매운갈비찜,서울 관악구 남부순환로216길 8,883-0250,37.48114624,126.9488978,관악구
삼미식당,서울 영등포구 영등포로5길 14-2,02-2068-8428,37.52384746,126.8846475,영등포구
얼레리꼴레리,서울 중랑구 양원역로 61,493-4612,37.60568884,127.1059657,중랑구
